lat	lon		url
51.226197	-0.335667	Dorking, Surrey	https://www.theguardian.com/money/2018/jun/01/lets-move-to-dorking-surrey
51.340481	-2.965166	Weston-super-Mare	https://www.theguardian.com/money/2018/jul/27/lets-move-to-weston-super-mare
53.462761	-2.216665	Ramsbottom, Greater Manchester	https://www.theguardian.com/money/2018/jul/20/lets-move-to-ramsbottom-greater-manchester
53.716700	-1.850000	Halifax, West Yorkshire	https://www.theguardian.com/money/2018/jul/13/lets-move-to-halifax-west-yorkshire
52.111227	-4.078173	Lampeter, Ceredigion	https://www.theguardian.com/money/2018/jul/06/lets-move-to-lampeter-ceredigion-neat-town-if-like-students
53.841963	-0.435093	Beverley, east Yorkshire	https://www.theguardian.com/money/2018/jan/26/lets-move-beverley-east-yorkshire
55.8630462	-4.2812277	Finnieston, Glasgow	https://www.theguardian.com/money/2018/jan/19/lets-move-to-finnieston-glasgow-no-lampshades-cocktails-in-jam-jars
53.365962	-0.007711	Louth, Lincolnshire	https://www.theguardian.com/money/2018/jan/12/lets-move-to-louth-lincolnshire-worth-the-slog
52.681602	-1.831672	Lichfield, Staffordshire	https://www.theguardian.com/money/2018/jan/05/lets-move-to-lichfield-staffordshire-property-guide-tom-dyckhoff
53.743304	-2.013021	Hebden Bridge, West Yorks	https://www.theguardian.com/money/2018/feb/23/lets-move-to-hebden-bridge-west-yorks
52.049655	-1.7832211	Chipping Campden, Gloucestershire	https://www.theguardian.com/money/2018/feb/16/lets-move-to-chipping-campden-gloucestershire-tom-dyckhoff
51.4815584	-0.0264139	Deptford, south-east London	https://www.theguardian.com/money/2018/feb/09/lets-move-to-deptford-south-east-london-property-tom-dyckhoff
51.745734	-2.217758	Stroud, Gloucestershire	https://www.theguardian.com/money/2018/feb/02/lets-move-to-stroud-gloucestershire-cotswolds
52.109083	-2.311423	Great Malvern	https://www.theguardian.com/money/2018/dec/28/lets-move-to-great-malvern-and-the-malvern-hills-walk-in-elgars-footsteps
50.812938	-0.517624	Littlehampton, West Sussex	https://www.theguardian.com/money/2018/dec/14/lets-move-to-littlehampton-west-sussex-a-surreal-mishmash
54.376898	-5.839170	Bangor, County Down	https://www.theguardian.com/money/2018/dec/07/lets-move-to-bangor-county-down
56.242980	-4.216494	Callander	https://www.theguardian.com/money/2018/aug/24/lets-move-to-callander-and-the-trossachs
53.476945	-2.178925	Openshaw, Manchester	https://www.theguardian.com/money/2018/aug/17/lets-move-to-openshaw-manchester-great-location
52.251161	0.713361	Bury St Edmunds, Suffolk	https://www.theguardian.com/money/2018/aug/03/lets-move-to-bury-st-edmunds-suffolk-stunning-town
53.383738	-2.256402	Stockport, Greater Manchester	https://www.theguardian.com/money/2018/apr/20/lets-move-stockport-greater-manchester
51.536114	-0.125270	King’s Cross, London	https://www.theguardian.com/money/2018/apr/13/move-to-kings-cross-london
51.069358	0.689122	Tenterden, Kent	https://www.theguardian.com/money/2018/apr/06/lets-move-tenterden-hop-trellises-grapevines
50.686914	-4.692832	Boscastle, Cornwall	https://www.theguardian.com/money/2017/sep/29/lets-move-to-boscastle-cornwall
55.5649971	-5.5659523	Kintyre peninsula, Argyll and Bute	https://www.theguardian.com/money/2017/sep/22/lets-move-kintyre-peninsula-argyll-bute-gorgeous
52.376491	1.108394	Diss, Norfolk	https://www.theguardian.com/money/2017/sep/08/lets-move-to-diss-norfolk
50.855171	-0.555119	Arundel, West Sussex	https://www.theguardian.com/money/2017/sep/01/lets-move-to-arundel-arendelle
53.234447	-0.53625	Lincoln, UK	https://www.theguardian.com/money/2017/oct/27/lets-move-to-lincoln-property
55.770242	-2.005395	Berwick-upon-Tweed, Northumberland	https://www.theguardian.com/money/2017/oct/20/lets-move-to-berwick-upon-tweed-northumberland
51.561246	-0.230969	Dollis Hill, north-west London	https://www.theguardian.com/money/2017/oct/06/lets-move-dollis-hill-north-west-london-silicon-research-labs
52.056398	-2.715974	Hereford	https://www.theguardian.com/money/2017/nov/24/lets-move-to-hereford-tom-dyckhoff
52.651282	-0.480216	Stamford, Lincolnshire	https://www.theguardian.com/money/2017/nov/17/lets-move-to-stamford-lincolnshire
51.230751	-2.320096	Frome, Somerset	https://www.theguardian.com/money/2017/nov/10/lets-move-to-frome-somerset-property
51.487402	-0.607942	Windsor & Eton, Berkshire	https://www.theguardian.com/money/2017/nov/03/lets-move-windsor-eton-berkshire-castle
51.556619	0.076251	Ilford, east London	https://www.theguardian.com/money/2017/may/26/lets-move-ilford-east-london-boomtown-property-tom-dyckhoff
55.310464	-1.909547	Rothbury, Northumberland	https://www.theguardian.com/money/2017/may/19/rothbery-northumberland-property-guide-perfect-idyll
52.412856	0.751657	Thetford, Norfolk	https://www.theguardian.com/money/2017/may/12/lets-move-to-thetford-norfolk
51.7684444	-3.0850614	Blaenafon, Gwent	https://www.theguardian.com/money/2017/may/05/lets-move-to-blaenafon-gwent
50.9867009	-0.6107242	Petworth, West Sussex	https://www.theguardian.com/money/2017/mar/24/lets-move-to-petworth-and-pulborough-west-sussex-miss-marple
52.301537	-3.510641	Rhayader & the Elan valley, Powys	https://www.theguardian.com/money/2017/mar/17/lets-move-rhayader-elan-valley-powys-sublime-natural-beauty
51.45051	-0.004453	Hither Green, London	https://www.theguardian.com/money/2017/mar/03/lets-move-hither-green-south-east-london-tom-dyckhoff
52.796672	1.252352	Aylsham, Norfolk	https://www.theguardian.com/money/2017/jun/30/lets-move-to-aylsham-norfolk-tom-dyckhoff
52.205337	0.121817	Cambridge	https://www.theguardian.com/money/2017/jun/23/lets-move-to-cambridge-ancient-jump-cut-with-futuristic
56.002318	-4.734014	Helensburgh, Argyll & Bute	https://www.theguardian.com/money/2017/jun/16/lets-move-to-helensburgh-argyll-and-bute-tom-dyckhoff
51.602396	-0.6442409	Beaconsfield, Buckinghamshire	https://www.theguardian.com/money/2017/jun/09/lets-move-to-beaconfield-buckinghamshire-property
51.6458462	-1.1671573	Dorchester-on-Thames	https://www.theguardian.com/money/2017/jun/02/lets-move-dorchester-on-thames-oxfordshire-little-utopia
51.4575376	-0.0348798	Brockley, south-east London	https://www.theguardian.com/money/2017/jul/28/lets-move-to-brockey-south-east-london
51.517083	0.578411	Canvey Island, Essex	https://www.theguardian.com/money/2017/jul/21/lets-move-to-canvey-island-essex-britain-mississippi-delta
55.2052888	-6.2532947	Ballycastle, County Antrim	https://www.theguardian.com/money/2017/jul/14/lets-move-to-ballycastle-county-antrim-juicy-green-valleys
50.8279319	-0.168749	Hove, East Sussex	https://www.theguardian.com/money/2017/jul/07/lets-move-to-hove-east-sussex-young-people
50.700803	-1.291633	Newport, Isle of Wight	https://www.theguardian.com/money/2017/jan/27/lets-move-newport-isle-of-wight
54.283113	-0.399752	Scarborough, North Yorkshire	https://www.theguardian.com/money/2017/jan/20/lets-move-scarborough-north-yorkshire-where-seasiding-began
51.4211927	-0.1233808	Streatham, south-west London	https://www.theguardian.com/money/2017/jan/13/lets-move-to-streatham-south-west-london
54.77525	-1.584852	Durham, County Durham	https://www.theguardian.com/money/2017/jan/06/lets-move-to-durham-county-durham
50.9491967	-4.1549964	Torridge valley, Devon	https://www.theguardian.com/money/2017/feb/24/lets-move-great-torrington-torridge-valley-devon
52.4900507	-2.9984386	Bishop’s Castle, Shropshire	https://www.theguardian.com/money/2017/feb/17/lets-move-to-bishops-castle-shropshire-pretty-town-enthusiasm
58.984674	-2.9622491	Kirkwall	https://www.theguardian.com/money/2017/feb/10/lets-move-to-kirkwall-and-orkney
53.016626	-1.732179	Ashbourne, Derbyshire	https://www.theguardian.com/money/2017/feb/03/lets-move-to-ashbourne-derbyshire
51.577076	0.178319	Romford, east London	https://www.theguardian.com/money/2017/dec/29/lets-move-romford-east-london
50.8499062	0.4662071	Bexhill-on-Sea, East Sussex	https://www.theguardian.com/money/2017/dec/22/lets-move-to-bexhill-east-sussex
52.888816	-4.4176339	Pwllheli	https://www.theguardian.com/money/2017/dec/15/lets-move-to-pwllheli-and-the-llyn-peninsula-property
55.600029	-2.432207	Kelso, Roxburghshire	https://www.theguardian.com/money/2017/dec/08/lets-move-to-kelso-roxburghshire-property-tom-dyckhoff
54.486335	-0.613347	Whitby, North Yorkshire	https://www.theguardian.com/money/2017/dec/01/lets-move-to-whitby-north-yorkshire
53.7456709	-0.3367413	Kingston upon Hull, Yorkshire	https://www.theguardian.com/money/2017/aug/25/lets-move-kingston-upon-hull-yorkshire-glorious
51.388	0.506721	Rochester, Kent	https://www.theguardian.com/money/2017/aug/18/lets-move-to-rochester-kent-ravishingly-beautiful
53.763201	-2.70309	Preston, Lancashire	https://www.theguardian.com/money/2017/aug/11/lets-move-to-preston-lancashire
51.370922	1.127771	Herne Bay, Kent	https://www.theguardian.com/money/2017/aug/04/lets-move-to-herne-bay-kent
50.5475363	-2.4343209	Isle of Portland, Dorset	https://www.theguardian.com/money/2017/apr/21/lets-move-portland-dorset-fair-share-oddity
50.792592	-3.651495	Crediton, Devon	https://www.theguardian.com/money/2017/apr/14/lets-move-crediton-devon-day-will-come-again-tom-dyckhoff
56.1168249	-3.158137	Kirkcaldy, Fife	https://www.theguardian.com/money/2017/apr/07/property-lets-move-to-kirkcaldy-fife
52.222147	1.342105	Framplington, Suffolk	https://www.theguardian.com/money/2017/apr/01/lets-move-to-framplington-suffolk-too-good-to-be-true
52.242793	-4.2581619	Aberaeron, Ceredigion	https://www.theguardian.com/money/2016/sep/30/lets-move-to-aberaeron-ceredigion
51.4571477	-0.1230681	Lambeth, London	https://www.theguardian.com/money/2016/sep/23/lets-move-to-lambeth-south-london
